granule_id,us_url,product,location,split,granuleSize,lst_day_1km_min,lst_day_1km_max,lst_day_1km_mean,qc_day_min,qc_day_max,qc_day_mean,day_view_time_min,day_view_time_max,day_view_time_mean,day_view_angl_min,day_view_angl_max,day_view_angl_mean,lst_night_1km_min,lst_night_1km_max,lst_night_1km_mean,qc_night_min,qc_night_max,qc_night_mean,night_view_time_min,night_view_time_max,night_view_time_mean,night_view_angl_min,night_view_angl_max,night_view_angl_mean,emis_31_min,emis_31_max,emis_31_mean,emis_32_min,emis_32_max,emis_32_mean,clear_sky_days_min,clear_sky_days_max,clear_sky_days_mean,clear_sky_nights_min,clear_sky_nights_max,clear_sky_nights_mean
MOD11A2.A2010305.h12v04.061.2021183013410.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010305.h12v04.061.2021183013410/MOD11A2.A2010305.h12v04.061.2021183013410.hdf,modis,northeast,train,8010789,12587.0,14449.0,13955.202177218935,2.0,145.0,34.34269595396565,101.0,255.0,130.03333958333334,2.0,255.0,87.68804075558386,12923.0,14299.0,13608.280691392578,2.0,145.0,44.771373665110445,208.0,255.0,224.87089930555555,1.0,255.0,96.10159764534058,240.0,252.0,246.700575964015,239.0,250.0,247.20531221677655,1.0,255.0,123.40698352939664,1.0,255.0,135.75414324912174
MOD11A2.A2010305.h12v05.061.2021183013502.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010305.h12v05.061.2021183013502/MOD11A2.A2010305.h12v05.061.2021183013502.hdf,modis,northeast,train,1545758,13802.0,14939.0,14231.481606583553,2.0,145.0,3.469696656101528,101.0,255.0,250.05172083333332,3.0,255.0,248.39082986111111,13338.0,14691.0,13779.015146512587,2.0,145.0,3.8529987322709367,211.0,255.0,253.8340902777778,1.0,255.0,248.52039233959988,240.0,251.0,246.02249304760346,241.0,250.0,247.38262718796008,1.0,247.0,187.55915167147742,1.0,231.0,155.0501444490301
MOD11A2.A2010305.h11v04.061.2021183012740.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010305.h11v04.061.2021183012740/MOD11A2.A2010305.h11v04.061.2021183012740.hdf,modis,northeast,train,8255004,13546.0,14858.0,14198.715723264324,2.0,145.0,65.80033600929123,101.0,255.0,111.33341388888888,1.0,255.0,69.56682013888889,13138.0,14546.0,13647.844393840665,2.0,145.0,63.877560934984174,210.0,255.0,219.74116944444444,1.0,255.0,67.79747277602276,240.0,251.0,246.89765208333333,242.0,250.0,247.79239444444445,1.0,255.0,202.495936303582,1.0,255.0,148.7772110710202
MOD11A2.A2010305.h11v05.061.2021183014332.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010305.h11v05.061.2021183014332/MOD11A2.A2010305.h11v05.061.2021183014332.hdf,modis,northeast,train,5555397,13562.0,15084.0,14355.205832214797,2.0,145.0,15.710325840795857,100.0,255.0,168.4857548611111,1.0,255.0,142.03185864307014,13186.0,14657.0,13784.231128370968,2.0,145.0,15.499277670538644,212.0,255.0,235.36248194444445,1.0,255.0,147.78413003531998,240.0,251.0,246.07194757603344,241.0,249.0,247.5383329832178,1.0,255.0,199.78306153277742,1.0,253.0,186.4384596747859
MOD11A2.A2010297.h11v05.061.2021182170833.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010297.h11v05.061.2021182170833/MOD11A2.A2010297.h11v05.061.2021182170833.hdf,modis,northeast,train,5337319,13721.0,15199.0,14598.176453275693,2.0,145.0,17.076497718482297,100.0,255.0,171.38802222222222,1.0,255.0,157.01036597354076,13372.0,14858.0,14118.993384805623,2.0,145.0,13.026855024426034,211.0,255.0,234.55122916666667,1.0,255.0,140.18018501027834,240.0,251.0,246.03922266597885,240.0,249.0,247.52687009964683,1.0,239.0,177.62990293622101,1.0,253.0,152.16695535094425
MOD11A2.A2010297.h13v04.061.2021182170539.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010297.h13v04.061.2021182170539/MOD11A2.A2010297.h13v04.061.2021182170539.hdf,modis,northeast,train,4097189,12621.0,14564.0,13893.898445453295,2.0,145.0,13.198393719370491,100.0,255.0,215.06850208333333,1.0,255.0,202.190031680747,12835.0,14426.0,13685.812301372525,2.0,145.0,17.536791726433567,207.0,255.0,242.3977923611111,1.0,255.0,188.28593244774825,240.0,252.0,246.20745049189333,240.0,250.0,247.21603287789472,1.0,232.0,47.56644780449981,1.0,251.0,83.7788179595915
MOD11A2.A2010297.h11v04.061.2021182170536.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010297.h11v04.061.2021182170536/MOD11A2.A2010297.h11v04.061.2021182170536.hdf,modis,northeast,train,7795368,13034.0,15008.0,14165.018319992356,2.0,145.0,41.38243035769755,100.0,255.0,137.15864305555556,1.0,255.0,105.60843523000527,12689.0,14644.0,13693.432195889396,2.0,145.0,52.25571429724299,207.0,255.0,220.88535347222222,1.0,255.0,71.81081192710003,240.0,252.0,246.9449463538029,240.0,250.0,247.94365754567147,1.0,240.0,123.12996312665035,1.0,250.0,131.91070236349094
MOD11A2.A2010297.h12v04.061.2021182170534.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010297.h12v04.061.2021182170534/MOD11A2.A2010297.h12v04.061.2021182170534.hdf,modis,northeast,train,6833689,12840.0,14955.0,14134.621279557172,2.0,177.0,32.02465191500815,100.0,255.0,154.37096319444444,1.0,255.0,118.80254956630799,12337.0,14593.0,13874.56694230579,2.0,161.0,36.180807813621826,207.0,255.0,228.7881986111111,1.0,255.0,111.82256954759193,240.0,252.0,246.65590483514245,239.0,250.0,247.07415550144106,1.0,241.0,57.81186544846161,1.0,250.0,77.13648299104524
MOD11A2.A2010297.h12v05.061.2021182170533.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010297.h12v05.061.2021182170533/MOD11A2.A2010297.h12v05.061.2021182170533.hdf,modis,northeast,train,1521776,13727.0,14926.0,14425.80078880599,2.0,145.0,4.125072449327572,100.0,255.0,251.03707708333334,1.0,255.0,250.2086312147031,13708.0,14727.0,14146.665364098748,2.0,145.0,3.698400956012064,213.0,255.0,253.82927916666668,5.0,255.0,248.55107847222223,240.0,251.0,246.06009428161508,240.0,249.0,247.29368723098995,1.0,235.0,115.85545255859522,1.0,240.0,116.57788529132034
MOD11A2.A2010289.h11v04.061.2021181192842.hdf,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2010289.h11v04.061.2021181192842/MOD11A2.A2010289.h11v04.061.2021181192842.hdf,modis,northeast,train,8400172,13833.0,15093.0,14446.368103124047,2.0,145.0,65.58194278337794,101.0,255.0,111.11657777777778,1.0,255.0,68.04888311414139,12987.0,14862.0,13817.838000189,2.0,145.0,67.39247729036381,208.0,255.0,220.1590375,1.0,255.0,70.67524954895771,240.0,251.0,246.9414180205769,243.0,250.0,247.88670071842023,1.0,255.0,104.10828803488265,1.0,255.0,168.9281328778812
