Date,Open,High,Low,Close,Adj Close,Volume
31-Oct-23,2.9811,3.031,2.9811,2.991,2.991,51089
30-Oct-23,3.0369,3.046,2.942,2.9663,2.9663,16202
27-Oct-23,3.05,3.09,2.98,3.0519,3.0519,17838
26-Oct-23,3.02,3.0546,2.9697,3.0439,3.0439,19606
25-Oct-23,3.0433,3.0469,2.9501,3.0305,3.0305,22867
24-Oct-23,3.1054,3.1099,3.001,3.0449,3.0449,29225
23-Oct-23,3.1566,3.1789,3.0776,3.0955,3.0955,28647
20-Oct-23,3.183,3.222,3.1508,3.1566,3.1566,27221
19-Oct-23,3.1365,3.186,3.0793,3.173,3.173,39962
18-Oct-23,3.1789,3.212,3.115,3.1393,3.1393,54459
17-Oct-23,3.1583,3.1808,3.0956,3.1767,3.1767,48694
16-Oct-23,3.2151,3.2515,3.1415,3.1492,3.1492,50154
13-Oct-23,3.0489,3.2172,3.04,3.2117,3.2117,59147
12-Oct-23,3.0041,3.0559,2.9895,3.0449,3.0449,51023
11-Oct-23,3.0207,3.0555,2.9335,2.9985,2.9985,49679
10-Oct-23,2.98,3.0373,2.9485,3.0201,3.0201,55015
9-Oct-23,2.9498,3.0258,2.9236,2.9666,2.9666,44908
6-Oct-23,2.8829,2.9622,2.8336,2.9008,2.9008,66506
5-Oct-23,3.0244,3.0306,2.8617,2.8687,2.8687,74938
4-Oct-23,3.1912,3.1975,3.0023,3.0178,3.0178,66250
3-Oct-23,3.2204,3.2276,3.1276,3.1954,3.1954,60606
2-Oct-23,3.2897,3.3464,3.2027,3.2225,3.2225,56910
29-Sep-23,3.3451,3.4066,3.3328,3.3622,3.3622,66307
28-Sep-23,3.3102,3.3655,3.297,3.318,3.318,19256
27-Sep-23,3.2501,3.3356,3.2187,3.3147,3.3147,16701
26-Sep-23,3.2644,3.2712,3.186,3.2238,3.2238,23792
25-Sep-23,3.3366,3.3482,3.2491,3.2622,3.2622,24816
22-Sep-23,3.3682,3.4294,3.3045,3.3062,3.3062,30745
21-Sep-23,3.3159,3.4781,3.3,3.368,3.368,37988
20-Sep-23,3.3989,3.418,3.292,3.3268,3.3268,37159
19-Sep-23,3.2976,3.4127,3.275,3.3739,3.3739,41929
18-Sep-23,3.3966,3.4116,3.2699,3.2883,3.2883,42758
15-Sep-23,3.4749,3.4937,3.3734,3.3834,3.3834,55402
14-Sep-23,3.4349,3.5092,3.3967,3.4815,3.4815,55396
13-Sep-23,3.3243,3.4426,3.3205,3.4354,3.4354,66222
12-Sep-23,3.3543,3.3927,3.3097,3.3283,3.3283,53144
11-Sep-23,3.2994,3.4027,3.2667,3.3622,3.3622,62626
8-Sep-23,3.2213,3.327,3.2081,3.2991,3.2991,62423
7-Sep-23,3.194,3.229,3.1527,3.2123,3.2123,47349
6-Sep-23,3.2234,3.2296,3.1309,3.1927,3.1927,50254
5-Sep-23,3.1215,3.252,3.0911,3.2196,3.2196,73773
1-Sep-23,3.1165,3.1709,3.098,3.105,3.105,65916
31-Aug-23,3.101,3.1569,3.0638,3.1426,3.1426,66805
30-Aug-23,3.2037,3.2149,3.0925,3.0962,3.0962,19626
29-Aug-23,3.1866,3.2265,3.1482,3.2095,3.2095,14513
28-Aug-23,3.311,3.32,3.1829,3.2037,3.2037,21172
